shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
161575,38.774377,-9.097532,13,
161575,38.771328,-9.097768,14,
161575,38.767173,-9.099085,15,
161575,38.76799,-9.100009,16,
161576,38.792745,-9.121603,1,
161576,38.791489,-9.123335,2,
161576,38.790195,-9.123126,3,
161576,38.788306,-9.123888,4,
161576,38.786098,-9.12392,5,
161576,38.783924,-9.124792,6,
161576,38.781403,-9.120347,7,
161576,38.779131,-9.120172,8,
161576,38.77707,-9.1159,9,
161576,38.776092,-9.113833,10,
161576,38.775372,-9.110767,11,
161576,38.773794,-9.10476,12,
161576,38.77478,-9.101771,13,
161576,38.774377,-9.097532,14,
161576,38.771328,-9.097768,15,
161576,38.767173,-9.099085,16,
161576,38.76799,-9.100009,17,
161583,38.730127,-9.145438,1,
161583,38.728749,-9.144555,2,
161583,38.726737,-9.145766,3,
161583,38.72499,-9.144184,4,
161583,38.722571,-9.141549,5,
161583,38.722234,-9.139723,6,
161583,38.723392,-9.137704,7,
161583,38.727273,-9.137947,8,
161583,38.726012,-9.134327,9,
161583,38.723421,-9.131793,10,
161583,38.722299,-9.129089,11,
161583,38.723879,-9.129382,12,
161583,38.725973,-9.129944,13,
161583,38.727613,-9.12821,14,
161583,38.730414,-9.127801,15,
161583,38.734983,-9.128784,16,
161583,38.737505,-9.127452,17,
161583,38.737405,-9.124215,18,
161583,38.736015,-9.122939,19,
161583,38.735045,-9.121826,20,
161583,38.734159,-9.120836,21,
161583,38.732702,-9.122216,22,
161583,38.732656,-9.121479,23,
161602,38.745823,-9.148119,1,
161602,38.742781,-9.146696,2,
161602,38.746112,-9.147539,3,
161602,38.748365,-9.147014,4,
161602,38.7489,-9.13674,5,
161602,38.748643,-9.132049,6,
161602,38.747899,-9.108954,7,
161602,38.744363,-9.110927,8,
161602,38.743196,-9.111952,9,
161602,38.74446,-9.113232,10,
161602,38.746554,-9.11281,11,
161602,38.748168,-9.112946,12,
161602,38.752047,-9.113506,13,
161602,38.755094,-9.113547,14,
161602,38.756676,-9.11324,15,
161603,38.667593,-9.163809,1,
161603,38.674281,-9.173324,2,
161603,38.723303,-9.165632,3,
161603,38.724091,-9.160724,4,
161603,38.724903,-9.154848,5,
161603,38.724659,-9.150856,6,
161603,38.726214,-9.147411,7,
161603,38.727463,-9.145783,8,
161603,38.729876,-9.143497,9,
161719,38.742577,-9.168298,1,
161719,38.741185,-9.163293,2,
161719,38.741146,-9.15987,3,
161719,38.741685,-9.15617,4,
161719,38.743144,-9.156701,5,
161719,38.744846,-9.156582,6,
161719,38.743946,-9.154776,7,
161719,38.745335,-9.152417,8,
161719,38.748551,-9.157394,9,
161719,38.750195,-9.158911,10,
161719,38.75019,-9.161581,11,
161719,38.751631,-9.167508,12,
161719,38.754345,-9.169218,13,
161719,38.755739,-9.168599,14,
161729,38.725664,-9.149046,1,
161729,38.726303,-9.149265,2,
161729,38.728781,-9.147763,3,
161729,38.730498,-9.146706,4,
161729,38.733918,-9.144647,5,
161729,38.738523,-9.145875,6,
161729,38.742978,-9.146744,7,
161729,38.745929,-9.147482,8,
161729,38.747588,-9.147887,9,
161729,38.749795,-9.148247,10,
161729,38.752318,-9.149647,11,
161729,38.755135,-9.150347,12,
161729,38.757033,-9.144449,13,
161729,38.758312,-9.140357,14,
161729,38.759639,-9.136479,15,
161729,38.762248,-9.130256,16,
161729,38.767825,-9.128712,17,
161729,38.769828,-9.126596,18,
161729,38.770198,-9.123142,19,
161729,38.770812,-9.121557,20,
161729,38.7727,-9.11838,21,
161729,38.774067,-9.116782,22,
161729,38.776734,-9.117893,23,
161729,38.779376,-9.120132,24,
161729,38.781644,-9.119414,25,
161729,38.783563,-9.124536,26,
161729,38.785864,-9.123835,27,
161729,38.788411,-9.123737,28,
161729,38.790213,-9.124354,29,
161730,38.790213,-9.124354,1,
161730,38.788306,-9.123888,2,
161730,38.786098,-9.12392,3,
161730,38.783924,-9.124792,4,
161730,38.780902,-9.120093,5,
161730,38.779131,-9.120172,6,
161730,38.7763,-9.11801,7,
161730,38.773574,-9.118671,8,
161730,38.771084,-9.121878,9,
161730,38.769616,-9.123139,10,
161730,38.770196,-9.127342,11,
161730,38.768962,-9.127978,12,
161730,38.762363,-9.130498,13,
161730,38.759463,-9.137137,14,
161730,38.758137,-9.141655,15,
161730,38.756315,-9.146929,16,
161730,38.753913,-9.152563,17,
161730,38.752125,-9.151248,18,
161730,38.748985,-9.149486,19,
161730,38.747207,-9.14842,20,
161730,38.745169,-9.147953,21,
161730,38.741701,-9.146947,22,
161730,38.738267,-9.146059,23,
161730,38.733625,-9.145091,24,
161730,38.730371,-9.147066,25,
161730,38.72861,-9.148146,26,
161730,38.726623,-9.149521,27,
161730,38.725664,-9.149046,28,
161795,38.760667,-9.157545,1,
161795,38.760336,-9.157125,2,
161795,38.757625,-9.155281,3,
161795,38.753913,-9.152563,4,
161795,38.752125,-9.151248,5,
161795,38.748985,-9.149486,6,
161795,38.748173,-9.150075,7,
161795,38.747738,-9.152577,8,
161795,38.74738,-9.155252,9,
161795,38.748551,-9.157394,10,
161795,38.75019,-9.161581,11,
161795,38.751631,-9.167508,12,
161795,38.754345,-9.169218,13,
161795,38.755984,-9.170861,14,
161795,38.756121,-9.176447,15,
161795,38.754522,-9.175604,16,
161795,38.749664,-9.172603,17,
161795,38.747745,-9.17126,18,
161795,38.745266,-9.169313,19,
161795,38.742544,-9.168598,20,
161795,38.738826,-9.168528,21,
161795,38.736776,-9.167456,22,
161795,38.735177,-9.165441,23,
161795,38.732207,-9.162741,24,
161795,38.72932,-9.162442,25,
161795,38.726425,-9.162436,26,
161795,38.725345,-9.163631,27,
161795,38.724206,-9.165266,28,
161795,38.721557,-9.167202,29,
161795,38.718883,-9.169679,30,
161795,38.716991,-9.169629,31,
161795,38.714399,-9.170026,32,
161796,38.760667,-9.157545,1,
161796,38.760336,-9.157125,2,
161796,38.757625,-9.155281,3,
161796,38.753913,-9.152563,4,
161796,38.752125,-9.151248,5,
161796,38.748985,-9.149486,6,
161796,38.748173,-9.150075,7,
161796,38.747738,-9.152577,8,
161796,38.74738,-9.155252,9,
161796,38.748551,-9.157394,10,
161796,38.75019,-9.161581,11,
161796,38.751631,-9.167508,12,
161796,38.754345,-9.169218,13,
161796,38.755984,-9.170861,14,
161796,38.756121,-9.176447,15,
161796,38.754522,-9.175604,16,
161796,38.749664,-9.172603,17,
161796,38.747745,-9.17126,18,
161796,38.745266,-9.169313,19,
161796,38.742193,-9.168327,20,
161797,38.730742,-9.173324,1,
161797,38.732509,-9.171798,2,
161797,38.734679,-9.170232,3,
161797,38.733084,-9.169057,4,
161797,38.730838,-9.168603,5,
161797,38.726199,-9.170424,6,
161797,38.726359,-9.167668,7,
161797,38.728512,-9.16599,8,
